GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
09379	Bowling Green, KY Urbanized Area	U	117582320	637275	      45.399	       0.246	 36.955492	 -86.439505                                                                                              
09406	Bowling Green, MO Urban Cluster	C	5971104	19241	       2.305	       0.007	 39.346076	 -91.202394                                                                                                  
09433	Bowling Green, OH Urban Cluster	C	31838554	288361	      12.293	       0.111	 41.375434	 -83.649580                                                                                                
09460	Box Elder, SD Urban Cluster	C	20972737	18064	       8.098	       0.007	 44.129081	-103.076939                                                                                                     
09487	Boyne City, MI Urban Cluster	C	7164554	56507	       2.766	       0.022	 45.212106	 -85.012530                                                                                                     
09514	Bozeman, MT Urban Cluster	C	50436424	121006	      19.474	       0.047	 45.683919	-111.057553                                                                                                      
09532	Brackettville, TX Urban Cluster	C	7113925	8247	       2.747	       0.003	 29.302599	-100.412224                                                                                                   
09541	Bradford, PA--NY Urban Cluster	C	13727512	189396	       5.300	       0.073	 41.960558	 -78.643265                                                                                                 
09568	Brady, TX Urban Cluster	C	7415162	23946	       2.863	       0.009	 31.130533	 -99.337160                                                                                                          
09600	Braidwood--Coal City--Wilmington, IL Urban Cluster	C	38941110	1171813	      15.035	       0.452	 41.269895	 -88.239959                                                                            
09622	Brainerd, MN Urban Cluster	C	45978620	3736685	      17.752	       1.443	 46.358835	 -94.219552                                                                                                    
09649	Brandon, SD Urban Cluster	C	8612017	10852	       3.325	       0.004	 43.593750	 -96.571201                                                                                                        
09676	Branson, MO Urban Cluster	C	74471170	1230833	      28.753	       0.475	 36.628367	 -93.252269                                                                                                     
09703	Brattleboro, VT--NH Urban Cluster	C	12279834	335833	       4.741	       0.130	 42.849383	 -72.580475                                                                                              
09730	Brawley, CA Urban Cluster	C	20535858	0	       7.929	       0.000	 32.977979	-115.531854                                                                                                           
09784	Brazoria, TX Urban Cluster	C	7897794	0	       3.049	       0.000	 29.058564	 -95.585174                                                                                                           
09801	Breaux Bridge, LA Urban Cluster	C	58904697	694836	      22.743	       0.268	 30.277915	 -91.881727                                                                                                
09811	Breckenridge, CO Urban Cluster	C	16797617	0	       6.486	       0.000	 39.483131	-106.042401                                                                                                      
09838	Breckenridge, TX Urban Cluster	C	9691153	9818	       3.742	       0.004	 32.756684	 -98.909361                                                                                                    
09865	Breese, IL Urban Cluster	C	11870141	0	       4.583	       0.000	 38.592503	 -89.532017                                                                                                            
09892	Bremen, GA Urban Cluster	C	17658329	20518	       6.818	       0.008	 33.719958	 -85.145976                                                                                                        
09919	Bremen, IN Urban Cluster	C	6228047	11642	       2.405	       0.004	 41.446077	 -86.150628                                                                                                         
09946	Bremerton, WA Urbanized Area	U	353512878	81997849	     136.492	      31.660	 47.615910	-122.626180                                                                                                
09973	Brenham, TX Urban Cluster	C	21527549	48551	       8.312	       0.019	 30.159860	 -96.395920                                                                                                       
10000	Brent, AL Urban Cluster	C	12493768	41081	       4.824	       0.016	 32.953495	 -87.152610                                                                                                         
10027	Brevard, NC Urban Cluster	C	31377102	84	      12.115	       0.000	 35.229587	 -82.731340                                                                                                          
10081	Brewton, AL Urban Cluster	C	15289359	66129	       5.903	       0.026	 31.107055	 -87.063914                                                                                                       
10135	Bridgeport, TX Urban Cluster	C	8772956	0	       3.387	       0.000	 33.213941	 -97.760762                                                                                                         
10162	Bridgeport--Stamford, CT--NY Urbanized Area	U	1207622615	30653249	     466.266	      11.835	 41.135301	 -73.534002                                                                                
10189	Bridgeton, NJ Urban Cluster	C	46099972	1211643	      17.799	       0.468	 39.441365	 -75.223477                                                                                                   
10198	Bridgeville, DE Urban Cluster	C	8184286	0	       3.160	       0.000	 38.727374	 -75.589654                                                                                                        
10297	Brillion, WI Urban Cluster	C	4074256	20810	       1.573	       0.008	 44.175097	 -88.066117                                                                                                       
10324	Brinkley, AR Urban Cluster	C	5303073	20613	       2.048	       0.008	 34.891439	 -91.193631                                                                                                       
10351	Bristol--Bristol, TN--VA Urbanized Area	U	165518870	232262	      63.907	       0.090	 36.604532	 -82.152878                                                                                       
10378	Bristow, OK Urban Cluster	C	4773083	9109	       1.843	       0.004	 35.828541	 -96.392281                                                                                                         
10405	Broadway, VA Urban Cluster	C	9349882	91232	       3.610	       0.035	 38.619200	 -78.790019                                                                                                       
10418	Brockport, NY Urban Cluster	C	30726766	227874	      11.864	       0.088	 43.225484	 -77.926485                                                                                                    
10426	Brockway, PA Urban Cluster	C	6218151	99396	       2.401	       0.038	 41.245655	 -78.775677                                                                                                       
10459	Brodhead, WI Urban Cluster	C	4598458	0	       1.775	       0.000	 42.613802	 -89.379160                                                                                                           
10513	Broken Bow, NE Urban Cluster	C	4932367	0	       1.904	       0.000	 41.405441	 -99.640170                                                                                                         
10540	Broken Bow, OK Urban Cluster	C	8875104	47943	       3.427	       0.019	 34.024203	 -94.743486                                                                                                     
10567	Brookfield, MO Urban Cluster	C	7607997	17861	       2.937	       0.007	 39.783508	 -93.076913                                                                                                     
10594	Brookhaven, MS Urban Cluster	C	22858483	8189	       8.826	       0.003	 31.594241	 -90.440231                                                                                                     
10621	Brookings, OR Urban Cluster	C	18174618	328735	       7.017	       0.127	 42.052622	-124.268979                                                                                                    
10648	Brookings, SD Urban Cluster	C	24567338	0	       9.486	       0.000	 44.300493	 -96.784513                                                                                                         
10675	Brooklyn, MI Urban Cluster	C	7677053	129296	       2.964	       0.050	 42.102068	 -84.274830                                                                                                      
10702	Brookshire, TX Urban Cluster	C	6684224	0	       2.581	       0.000	 29.782342	 -95.955079                                                                                                         
10810	Brookville, PA Urban Cluster	C	9738685	195882	       3.760	       0.076	 41.162035	 -79.081363                                                                                                    
10837	Brownfield, TX Urban Cluster	C	11681989	60687	       4.510	       0.023	 33.176540	-102.274007                                                                                                    
10864	Browning, MT Urban Cluster	C	4861042	72933	       1.877	       0.028	 48.555151	-113.019434                                                                                                       
10891	Browns Mills--Fort Dix, NJ Urban Cluster	C	74401117	1510301	      28.726	       0.583	 40.020342	 -74.590238                                                                                      
10918	Brownstown, IN Urban Cluster	C	3989468	6997	       1.540	       0.003	 38.878859	 -86.046346                                                                                                      
10945	Brownsville, TN Urban Cluster	C	14930884	0	       5.765	       0.000	 35.596462	 -89.261068                                                                                                       
10972	Brownsville, TX Urbanized Area	U	211532633	8245120	      81.673	       3.183	 25.966448	 -97.473579                                                                                               
10999	Brownwood, TX Urban Cluster	C	44025130	0	      16.998	       0.000	 31.709802	 -98.972804                                                                                                         
